"Date","Country","Production_Costs"
"2020-01-31","Germany",4806.00713603861
"2020-02-29","Germany",2937.24604986889
"2020-03-31","Germany",4402.09470463756
"2020-04-30","Germany",3472.81236323752
"2020-05-31","Germany",NA
"2020-06-30","Germany",2962.30183206297
"2020-07-31","Germany",3567.60699419262
"2020-08-31","Germany",2976.67809336394
"2020-09-30","Germany",2137.7717226202
"2020-10-31","Germany",3097.44763841025
"2020-11-30","Germany",2749.29440515747
"2020-12-31","Germany",2954.19109282639
"2021-01-31","Germany",NA
"2021-02-28","Germany",NA
"2021-03-31","Germany",6184.27819554261
"2021-04-30","Germany",6286.71050369212
"2021-05-31","Germany",6111.14865276954
"2021-06-30","Germany",4708.22282737573
"2021-07-31","Germany",5171.41408086384
"2021-08-31","Germany",5426.05451653496
"2021-09-30","Germany",4307.4341739395
"2021-10-31","Germany",4428.38309714567
"2021-11-30","Germany",NA
"2021-12-31","Germany",4044.83903672963
"2022-01-31","Germany",6250.67526476186
"2022-02-28","Germany",NA
"2022-03-31","Germany",7413.87691976103
"2022-04-30","Germany",7312.22652171796
"2022-05-31","Germany",7055.54621052833
"2022-06-30","Germany",6469.39650446269
"2022-07-31","Germany",6905.27001859147
"2022-08-31","Germany",6647.36703908218
"2022-09-30","Germany",4899.73176713516
"2022-10-31","Germany",NA
"2022-11-30","Germany",4999.552541018
"2022-12-31","Germany",7400.66909011268
"2023-01-31","Germany",6303.22866834166
"2023-02-28","Germany",8013.6590351955
"2023-03-31","Germany",NA
"2023-04-30","Germany",7333.64126999968
"2023-05-31","Germany",NA
"2023-06-30","Germany",8364.65071992174
"2023-07-31","Germany",8620.71811933241
"2023-08-31","Germany",6117.78591398693
"2023-09-30","Germany",8232.78280908837
"2023-10-31","Germany",6084.82576895956
"2023-11-30","Germany",9233.94563155675
"2023-12-31","Germany",NA
"2024-01-31","Germany",10444.8230640434
"2024-02-29","Germany",10313.4548742736
"2024-03-31","Germany",NA
"2024-04-30","Germany",11023.7872032823
"2024-05-31","Germany",9543.08684787198
"2024-06-30","Germany",9704.41076595881
"2024-07-31","Germany",NA
"2024-08-31","Germany",9926.25893229701
"2024-09-30","Germany",8973.56235278823
"2024-10-31","Germany",8898.82112305054
"2024-11-30","Germany",7209.03393415258
"2024-12-31","Germany",8614.59725430707
"2020-01-31","France",2503.22413027392
"2020-02-29","France",4578.04641790477
"2020-03-31","France",3702.86795950314
"2020-04-30","France",NA
"2020-05-31","France",3536.87058775611
"2020-06-30","France",3889.68200912908
"2020-07-31","France",NA
"2020-08-31","France",2813.04095231578
"2020-09-30","France",NA
"2020-10-31","France",2621.83576617597
"2020-11-30","France",4545.22838443154
"2020-12-31","France",NA
"2021-01-31","France",3894.84558658319
"2021-02-28","France",NA
"2021-03-31","France",7017.79572976127
"2021-04-30","France",4282.9334751872
"2021-05-31","France",6995.02754333343
"2021-06-30","France",4451.43743591632
"2021-07-31","France",5527.05382039376
"2021-08-31","France",4224.58327998836
"2021-09-30","France",4810.24695656802
"2021-10-31","France",4578.67291314816
"2021-11-30","France",4348.71295191217
"2021-12-31","France",5570.65527284089
"2022-01-31","France",NA
"2022-02-28","France",6621.75388553231
"2022-03-31","France",6850.96145702437
"2022-04-30","France",6366.4348663101
"2022-05-31","France",NA
"2022-06-30","France",NA
"2022-07-31","France",NA
"2022-08-31","France",4493.86702455828
"2022-09-30","France",4790.61227989169
"2022-10-31","France",6300.63340122347
"2022-11-30","France",6063.46731773695
"2022-12-31","France",6067.55454102343
"2023-01-31","France",6355.20510205089
"2023-02-28","France",6781.66408739509
"2023-03-31","France",7925.76849460905
"2023-04-30","France",9507.46035761757
"2023-05-31","France",8860.3261340096
"2023-06-30","France",7259.57669280423
"2023-07-31","France",8165.53622131969
"2023-08-31","France",8150.31064696428
"2023-09-30","France",7748.30385162568
"2023-10-31","France",5210.88892024349
"2023-11-30","France",8229.30724355232
"2023-12-31","France",8492.6115037277
"2024-01-31","France",8449.81329474412
"2024-02-29","France",NA
"2024-03-31","France",11616.4621967848
"2024-04-30","France",9957.38884756887
"2024-05-31","France",NA
"2024-06-30","France",9811.24389990433
"2024-07-31","France",8001.36808274211
"2024-08-31","France",NA
"2024-09-30","France",9848.00768789654
"2024-10-31","France",NA
"2024-11-30","France",9692.1194192164
"2024-12-31","France",8132.61362108753
"2020-01-31","Italy",NA
"2020-02-29","Italy",2938.17231852791
"2020-03-31","Italy",4954.73199803541
"2020-04-30","Italy",3825.71438248043
"2020-05-31","Italy",4597.68517055389
"2020-06-30","Italy",4271.21933285585
"2020-07-31","Italy",NA
"2020-08-31","Italy",1764.61820393678
"2020-09-30","Italy",3618.60042725095
"2020-10-31","Italy",2279.49526399445
"2020-11-30","Italy",2425.26022230195
"2020-12-31","Italy",3117.78156890583
"2021-01-31","Italy",4271.64412241576
"2021-02-28","Italy",4939.39736128887
"2021-03-31","Italy",NA
"2021-04-30","Italy",4249.39602398495
"2021-05-31","Italy",NA
"2021-06-30","Italy",4783.09047347365
"2021-07-31","Italy",3580.29889151284
"2021-08-31","Italy",4199.49011882259
"2021-09-30","Italy",NA
"2021-10-31","Italy",5046.75634442051
"2021-11-30","Italy",NA
"2021-12-31","Italy",5576.95343799618
"2022-01-31","Italy",4520.70731127337
"2022-02-28","Italy",6620.71136010814
"2022-03-31","Italy",8367.16861651417
"2022-04-30","Italy",7570.59552586918
"2022-05-31","Italy",6611.52109488863
"2022-06-30","Italy",5995.25290918984
"2022-07-31","Italy",NA
"2022-08-31","Italy",4987.48371729334
"2022-09-30","Italy",NA
"2022-10-31","Italy",6294.78343643889
"2022-11-30","Italy",NA
"2022-12-31","Italy",5554.09054172506
"2023-01-31","Italy",7050.90343765003
"2023-02-28","Italy",NA
"2023-03-31","Italy",NA
"2023-04-30","Italy",NA
"2023-05-31","Italy",9087.81352961936
"2023-06-30","Italy",8124.8629691021
"2023-07-31","Italy",8469.91050034287
"2023-08-31","Italy",7274.02372252541
"2023-09-30","Italy",NA
"2023-10-31","Italy",NA
"2023-11-30","Italy",5887.09650948498
"2023-12-31","Italy",7184.271540389
"2024-01-31","Italy",10255.6645023726
"2024-02-29","Italy",8933.46887312608
"2024-03-31","Italy",10308.915120183
"2024-04-30","Italy",10476.3340869226
"2024-05-31","Italy",11082.5198121247
"2024-06-30","Italy",8854.67351043726
"2024-07-31","Italy",10251.4584678019
"2024-08-31","Italy",8949.89886536726
"2024-09-30","Italy",7825.767543049
"2024-10-31","Italy",NA
"2024-11-30","Italy",NA
"2024-12-31","Italy",9651.87231007515
"2020-01-31","Spain",4505.56830376583
"2020-02-29","Spain",4204.63892305636
"2020-03-31","Spain",4412.8713337691
"2020-04-30","Spain",3991.26778278439
"2020-05-31","Spain",3876.65658350599
"2020-06-30","Spain",4555.04731566331
"2020-07-31","Spain",3069.01133821458
"2020-08-31","Spain",3848.90286767381
"2020-09-30","Spain",1929.98163522928
"2020-10-31","Spain",2462.80800247238
"2020-11-30","Spain",2958.39055357709
"2020-12-31","Spain",3066.03417840417
"2021-01-31","Spain",5787.50996674934
"2021-02-28","Spain",4954.00470498067
"2021-03-31","Spain",NA
"2021-04-30","Spain",4143.11986484587
"2021-05-31","Spain",6378.34123893109
"2021-06-30","Spain",3767.38283610252
"2021-07-31","Spain",5324.09640500882
"2021-08-31","Spain",3145.29200182958
"2021-09-30","Spain",4607.09062346735
"2021-10-31","Spain",4861.62224825456
"2021-11-30","Spain",3457.97628897755
"2021-12-31","Spain",4568.31934381327
"2022-01-31","Spain",5297.07637086179
"2022-02-28","Spain",7580.17206301631
"2022-03-31","Spain",6496.99247157427
"2022-04-30","Spain",6446.94809345856
"2022-05-31","Spain",NA
"2022-06-30","Spain",6324.48699351867
"2022-07-31","Spain",NA
"2022-08-31","Spain",NA
"2022-09-30","Spain",4996.73638049201
"2022-10-31","Spain",5839.59228877925
"2022-11-30","Spain",5271.51803428893
"2022-12-31","Spain",5780.52046407545
"2023-01-31","Spain",NA
"2023-02-28","Spain",7826.83215548923
"2023-03-31","Spain",8050.29805195619
"2023-04-30","Spain",8588.62094142548
"2023-05-31","Spain",7819.43111308656
"2023-06-30","Spain",7481.59299941282
"2023-07-31","Spain",NA
"2023-08-31","Spain",NA
"2023-09-30","Spain",7302.11324985192
"2023-10-31","Spain",NA
"2023-11-30","Spain",7807.57686011309
"2023-12-31","Spain",8283.35952040227
"2024-01-31","Spain",NA
"2024-02-29","Spain",9547.04876135077
"2024-03-31","Spain",10384.6931514955
"2024-04-30","Spain",11200.7432841914
"2024-05-31","Spain",10782.387246823
"2024-06-30","Spain",11616.8302882372
"2024-07-31","Spain",9336.31916708366
"2024-08-31","Spain",NA
"2024-09-30","Spain",7354.84393236234
"2024-10-31","Spain",NA
"2024-11-30","Spain",8419.95335153886
"2024-12-31","Spain",9730.48133589412
"2020-01-31","Netherlands",4036.45036767388
"2020-02-29","Netherlands",4466.89563897436
"2020-03-31","Netherlands",NA
"2020-04-30","Netherlands",NA
"2020-05-31","Netherlands",3231.8290626776
"2020-06-30","Netherlands",5497.49191742803
"2020-07-31","Netherlands",4342.9494405329
"2020-08-31","Netherlands",3143.11742244626
"2020-09-30","Netherlands",3632.7180881047
"2020-10-31","Netherlands",3503.67259782169
"2020-11-30","Netherlands",3322.96075976349
"2020-12-31","Netherlands",NA
"2021-01-31","Netherlands",5617.73081228226
"2021-02-28","Netherlands",5463.64984737422
"2021-03-31","Netherlands",6149.22214042765
"2021-04-30","Netherlands",5384.52886370861
"2021-05-31","Netherlands",6067.67460456478
"2021-06-30","Netherlands",5784.48120551548
"2021-07-31","Netherlands",5639.12101248542
"2021-08-31","Netherlands",3335.72612024051
"2021-09-30","Netherlands",4777.27840409565
"2021-10-31","Netherlands",4379.55083809238
"2021-11-30","Netherlands",4536.7297198118
"2021-12-31","Netherlands",4039.60059002932
"2022-01-31","Netherlands",5870.37241335323
"2022-02-28","Netherlands",5217.92633880378
"2022-03-31","Netherlands",7516.43218436363
"2022-04-30","Netherlands",7222.20162800163
"2022-05-31","Netherlands",7160.41218589073
"2022-06-30","Netherlands",7006.7788136083
"2022-07-31","Netherlands",7421.81533693639
"2022-08-31","Netherlands",NA
"2022-09-30","Netherlands",6799.41288948127
"2022-10-31","Netherlands",4505.45832717103
"2022-11-30","Netherlands",5201.6359739615
"2022-12-31","Netherlands",5697.16309394115
"2023-01-31","Netherlands",NA
"2023-02-28","Netherlands",NA
"2023-03-31","Netherlands",9257.47104827928
"2023-04-30","Netherlands",NA
"2023-05-31","Netherlands",7851.27215406656
"2023-06-30","Netherlands",6519.71747467261
"2023-07-31","Netherlands",6958.20615552956
"2023-08-31","Netherlands",7820.23927908316
"2023-09-30","Netherlands",5724.39786842964
"2023-10-31","Netherlands",NA
"2023-11-30","Netherlands",7800.89676554139
"2023-12-31","Netherlands",NA
"2024-01-31","Netherlands",7178.22335420043
"2024-02-29","Netherlands",NA
"2024-03-31","Netherlands",NA
"2024-04-30","Netherlands",9699.22866098
"2024-05-31","Netherlands",8224.6545008046
"2024-06-30","Netherlands",NA
"2024-07-31","Netherlands",9551.74883439507
"2024-08-31","Netherlands",8537.34959450399
"2024-09-30","Netherlands",6984.39360107428
"2024-10-31","Netherlands",9882.36507577109
"2024-11-30","Netherlands",NA
"2024-12-31","Netherlands",10679.3019176711
"2020-01-31","Sweden",3318.69645146051
"2020-02-29","Sweden",1686.36401754179
"2020-03-31","Sweden",3667.97331882221
"2020-04-30","Sweden",5046.69385216865
"2020-05-31","Sweden",2134.16895902219
"2020-06-30","Sweden",4322.47387904044
"2020-07-31","Sweden",4366.86515885705
"2020-08-31","Sweden",NA
"2020-09-30","Sweden",NA
"2020-10-31","Sweden",NA
"2020-11-30","Sweden",1553.62219028302
"2020-12-31","Sweden",3655.13214393913
"2021-01-31","Sweden",5035.201617005
"2021-02-28","Sweden",5116.15922773463
"2021-03-31","Sweden",4958.76216862883
"2021-04-30","Sweden",NA
"2021-05-31","Sweden",5576.57509088775
"2021-06-30","Sweden",5784.89598716255
"2021-07-31","Sweden",5633.89193058927
"2021-08-31","Sweden",5208.18635606461
"2021-09-30","Sweden",4289.40870852512
"2021-10-31","Sweden",2775.85684840892
"2021-11-30","Sweden",3400.50472361602
"2021-12-31","Sweden",4485.05240423042
"2022-01-31","Sweden",7575.54390859532
"2022-02-28","Sweden",NA
"2022-03-31","Sweden",6352.37772463605
"2022-04-30","Sweden",8447.63243967747
"2022-05-31","Sweden",6970.41253314899
"2022-06-30","Sweden",NA
"2022-07-31","Sweden",NA
"2022-08-31","Sweden",5856.80556015194
"2022-09-30","Sweden",5862.40410382517
"2022-10-31","Sweden",4712.01055720172
"2022-11-30","Sweden",5234.75237137548
"2022-12-31","Sweden",5889.59807161375
"2023-01-31","Sweden",8323.67677400602
"2023-02-28","Sweden",8369.83460943165
"2023-03-31","Sweden",NA
"2023-04-30","Sweden",9206.49475717255
"2023-05-31","Sweden",9336.38291511674
"2023-06-30","Sweden",8018.54614707968
"2023-07-31","Sweden",7526.77229551887
"2023-08-31","Sweden",8150.59975458266
"2023-09-30","Sweden",5922.76410406803
"2023-10-31","Sweden",6529.34490434591
"2023-11-30","Sweden",5730.88336885156
"2023-12-31","Sweden",NA
"2024-01-31","Sweden",10329.2859094662
"2024-02-29","Sweden",9333.34459826398
"2024-03-31","Sweden",10333.8992278397
"2024-04-30","Sweden",10734.1610880002
"2024-05-31","Sweden",10703.3567719711
"2024-06-30","Sweden",10760.8445225496
"2024-07-31","Sweden",NA
"2024-08-31","Sweden",9640.71466070709
"2024-09-30","Sweden",8885.98596878264
"2024-10-31","Sweden",8635.07320377338
"2024-11-30","Sweden",9092.39239137239
"2024-12-31","Sweden",8608.86094750064
"2020-01-31","Finland",3597.3444153036
"2020-02-29","Finland",NA
"2020-03-31","Finland",3115.95494291783
"2020-04-30","Finland",3855.36973714182
"2020-05-31","Finland",4355.3178209471
"2020-06-30","Finland",4023.73448703305
"2020-07-31","Finland",4800.07386869378
"2020-08-31","Finland",4345.13398868089
"2020-09-30","Finland",3298.26748228882
"2020-10-31","Finland",2939.15012541623
"2020-11-30","Finland",3133.62792682063
"2020-12-31","Finland",3425.42589162254
"2021-01-31","Finland",NA
"2021-02-28","Finland",NA
"2021-03-31","Finland",4024.41453921605
"2021-04-30","Finland",7928.39336668359
"2021-05-31","Finland",4638.57068917608
"2021-06-30","Finland",5531.9825323387
"2021-07-31","Finland",5005.36190742642
"2021-08-31","Finland",3832.01907642819
"2021-09-30","Finland",4844.61512179129
"2021-10-31","Finland",3331.52283157795
"2021-11-30","Finland",5684.45622515355
"2021-12-31","Finland",3586.78097763934
"2022-01-31","Finland",6893.43218066853
"2022-02-28","Finland",7329.45856069056
"2022-03-31","Finland",7239.70027195328
"2022-04-30","Finland",7350.29386537479
"2022-05-31","Finland",7417.05263217896
"2022-06-30","Finland",7480.97249047338
"2022-07-31","Finland",NA
"2022-08-31","Finland",6027.73557348409
"2022-09-30","Finland",4891.1781686409
"2022-10-31","Finland",6034.53523372681
"2022-11-30","Finland",6402.98977366419
"2022-12-31","Finland",7778.59893858427
"2023-01-31","Finland",7676.8321422736
"2023-02-28","Finland",7574.12717065787
"2023-03-31","Finland",8243.91321237147
"2023-04-30","Finland",8804.4670557021
"2023-05-31","Finland",8713.23916533349
"2023-06-30","Finland",8432.61116857772
"2023-07-31","Finland",6792.50117626427
"2023-08-31","Finland",8454.12902582947
"2023-09-30","Finland",7978.10425089276
"2023-10-31","Finland",7453.52190377841
"2023-11-30","Finland",6683.39655833875
"2023-12-31","Finland",7688.87361555496
"2024-01-31","Finland",NA
"2024-02-29","Finland",9854.14164182071
"2024-03-31","Finland",9105.86324392817
"2024-04-30","Finland",9983.5280634509
"2024-05-31","Finland",10091.5022632664
"2024-06-30","Finland",8845.32803273689
"2024-07-31","Finland",NA
"2024-08-31","Finland",9886.16714204657
"2024-09-30","Finland",7943.81391858535
"2024-10-31","Finland",7603.79729925046
"2024-11-30","Finland",9054.43855054389
"2024-12-31","Finland",NA
"2020-01-31","Norway",2442.5844360127
"2020-02-29","Norway",4538.86184784986
"2020-03-31","Norway",4332.20804742507
"2020-04-30","Norway",NA
"2020-05-31","Norway",4177.50136362143
"2020-06-30","Norway",NA
"2020-07-31","Norway",2712.93143609921
"2020-08-31","Norway",3186.78371381756
"2020-09-30","Norway",1924.58032043335
"2020-10-31","Norway",1945.37290237074
"2020-11-30","Norway",NA
"2020-12-31","Norway",2986.3123480621
"2021-01-31","Norway",3378.75432042654
"2021-02-28","Norway",5137.42763550831
"2021-03-31","Norway",6360.96515863357
"2021-04-30","Norway",4309.93289802369
"2021-05-31","Norway",5531.19920542676
"2021-06-30","Norway",4058.16573966339
"2021-07-31","Norway",5118.7384419042
"2021-08-31","Norway",4612.71125898018
"2021-09-30","Norway",5780.60945953203
"2021-10-31","Norway",4894.16863416552
"2021-11-30","Norway",4119.5412597627
"2021-12-31","Norway",5641.46502388908
"2022-01-31","Norway",7682.13739234891
"2022-02-28","Norway",7823.97555674097
"2022-03-31","Norway",6283.97107577095
"2022-04-30","Norway",6167.15127724484
"2022-05-31","Norway",7400.12156762283
"2022-06-30","Norway",7294.75197742139
"2022-07-31","Norway",8155.77966897879
"2022-08-31","Norway",5904.40805128792
"2022-09-30","Norway",6043.65914935625
"2022-10-31","Norway",5325.25653325919
"2022-11-30","Norway",NA
"2022-12-31","Norway",NA
"2023-01-31","Norway",8544.82386946598
"2023-02-28","Norway",6045.19501430304
"2023-03-31","Norway",9449.15121437969
"2023-04-30","Norway",7972.84225026
"2023-05-31","Norway",7016.21909367142
"2023-06-30","Norway",7791.07477247583
"2023-07-31","Norway",NA
"2023-08-31","Norway",7188.49318739239
"2023-09-30","Norway",7707.21498357167
"2023-10-31","Norway",6296.07684718311
"2023-11-30","Norway",7804.55347092923
"2023-12-31","Norway",8400.02775095166
"2024-01-31","Norway",10444.2838753748
"2024-02-29","Norway",9805.08016310672
"2024-03-31","Norway",9594.90326603084
"2024-04-30","Norway",9404.81656246845
"2024-05-31","Norway",NA
"2024-06-30","Norway",NA
"2024-07-31","Norway",8466.03958363843
"2024-08-31","Norway",9029.53911900772
"2024-09-30","Norway",NA
"2024-10-31","Norway",8897.01559720806
"2024-11-30","Norway",8621.75661384468
"2024-12-31","Norway",NA
"2020-01-31","Denmark",3236.82463741487
"2020-02-29","Denmark",5555.03737409531
"2020-03-31","Denmark",NA
"2020-04-30","Denmark",5618.83686618843
"2020-05-31","Denmark",4725.34134795192
"2020-06-30","Denmark",4219.10820327326
"2020-07-31","Denmark",3703.61147622967
"2020-08-31","Denmark",1619.49332902401
"2020-09-30","Denmark",3237.53018687357
"2020-10-31","Denmark",NA
"2020-11-30","Denmark",1416.22943917378
"2020-12-31","Denmark",NA
"2021-01-31","Denmark",5880.41535008138
"2021-02-28","Denmark",5772.02492047628
"2021-03-31","Denmark",4964.37623901622
"2021-04-30","Denmark",6447.52414135885
"2021-05-31","Denmark",4699.229286049
"2021-06-30","Denmark",6714.38814728739
"2021-07-31","Denmark",3810.27168787079
"2021-08-31","Denmark",4161.70154883566
"2021-09-30","Denmark",4421.98708955606
"2021-10-31","Denmark",3374.03424261541
"2021-11-30","Denmark",3854.20484196354
"2021-12-31","Denmark",4690.55941800988
"2022-01-31","Denmark",6961.7628612295
"2022-02-28","Denmark",6443.76451011763
"2022-03-31","Denmark",6838.32777742265
"2022-04-30","Denmark",5869.89336300713
"2022-05-31","Denmark",6357.53659482006
"2022-06-30","Denmark",7391.06286614793
"2022-07-31","Denmark",7674.78034061545
"2022-08-31","Denmark",4615.41918778403
"2022-09-30","Denmark",4502.04005198946
"2022-10-31","Denmark",6179.14035452358
"2022-11-30","Denmark",5699.0082555536
"2022-12-31","Denmark",NA
"2023-01-31","Denmark",6942.50126210068
"2023-02-28","Denmark",7039.57491747267
"2023-03-31","Denmark",NA
"2023-04-30","Denmark",9748.20726814151
"2023-05-31","Denmark",7580.56156970422
"2023-06-30","Denmark",NA
"2023-07-31","Denmark",8473.36261961269
"2023-08-31","Denmark",8151.39958809239
"2023-09-30","Denmark",8526.41277081156
"2023-10-31","Denmark",NA
"2023-11-30","Denmark",5631.97344574782
"2023-12-31","Denmark",NA
"2024-01-31","Denmark",10201.9782202596
"2024-02-29","Denmark",9909.65799889701
"2024-03-31","Denmark",8818.4914434371
"2024-04-30","Denmark",10510.7472878878
"2024-05-31","Denmark",10442.7312332554
"2024-06-30","Denmark",8291.8557119127
"2024-07-31","Denmark",NA
"2024-08-31","Denmark",10111.6726135983
"2024-09-30","Denmark",NA
"2024-10-31","Denmark",9134.1573866804
"2024-11-30","Denmark",7904.2350197178
"2024-12-31","Denmark",8500.51919520594
"2020-01-31","Poland",2958.15919448088
"2020-02-29","Poland",3150.98033512179
"2020-03-31","Poland",3407.53209161769
"2020-04-30","Poland",NA
"2020-05-31","Poland",4041.28676980083
"2020-06-30","Poland",4196.10518907753
"2020-07-31","Poland",3172.90049414206
"2020-08-31","Poland",3651.88889280084
"2020-09-30","Poland",2508.89181049349
"2020-10-31","Poland",4266.42213102375
"2020-11-30","Poland",2992.91828879711
"2020-12-31","Poland",2902.50359792671
"2021-01-31","Poland",5749.70236925206
"2021-02-28","Poland",5777.07425395008
"2021-03-31","Poland",NA
"2021-04-30","Poland",NA
"2021-05-31","Poland",6686.65030051855
"2021-06-30","Poland",4690.57011284124
"2021-07-31","Poland",5093.95040519699
"2021-08-31","Poland",5341.85776224026
"2021-09-30","Poland",3398.38144695391
"2021-10-31","Poland",3290.54680568127
"2021-11-30","Poland",4142.98910420331
"2021-12-31","Poland",4350.21072365648
"2022-01-31","Poland",5581.21391473
"2022-02-28","Poland",NA
"2022-03-31","Poland",7535.24142468758
"2022-04-30","Poland",6996.68305822549
"2022-05-31","Poland",6826.77090243647
"2022-06-30","Poland",7390.43890048967
"2022-07-31","Poland",7340.13943513866
"2022-08-31","Poland",5321.50303094477
"2022-09-30","Poland",6615.37347007837
"2022-10-31","Poland",4884.83007152124
"2022-11-30","Poland",5796.44144303252
"2022-12-31","Poland",6341.12797236044
"2023-01-31","Poland",7921.14891772222
"2023-02-28","Poland",6936.59322636298
"2023-03-31","Poland",7507.93660983722
"2023-04-30","Poland",8371.14375239271
"2023-05-31","Poland",8844.80113732635
"2023-06-30","Poland",9723.24143114367
"2023-07-31","Poland",9383.6270707201
"2023-08-31","Poland",NA
"2023-09-30","Poland",7254.64977547707
"2023-10-31","Poland",7212.56427100091
"2023-11-30","Poland",6488.33248725751
"2023-12-31","Poland",7394.679567412
"2024-01-31","Poland",8501.49518576651
"2024-02-29","Poland",NA
"2024-03-31","Poland",9695.56640368589
"2024-04-30","Poland",10150.7485686778
"2024-05-31","Poland",9267.83551377607
"2024-06-30","Poland",9038.0538299497
"2024-07-31","Poland",7466.06453079247
"2024-08-31","Poland",8251.55204096808
"2024-09-30","Poland",8210.49005157479
"2024-10-31","Poland",7504.76717568759
"2024-11-30","Poland",NA
"2024-12-31","Poland",8906.33498528656
